"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","39/414","298/9399",0.130872483221477,2.97118470965859,7.4224921462629,7.48493734827602e-10,2.31284564061729e-07,2.13517686461347e-07,"7850/6347/3554/9173/1234/8807/1524/3625/3560/3976/959/8809/6846/388372/8718/9235/3624/8808/356/3590/6355/5618/6364/10803/3556/5008/650/133396/1232/7293/3565/6368/9560/8784/1237/5617/6373/3627/146433",39
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","19/414","100/9399",0.19,4.31355072463768,7.15046605998213,5.57977316366148e-08,8.62074953785699e-06,7.95851856501191e-06,"7850/1604/2993/917/3554/2322/100133941/916/914/915/921/2323/3590/925/926/3674/3565/927/3118",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","18/414","100/9399",0.18,4.08652173913043,6.66054959561919,2.9494910709818e-07,3.03797580311126e-05,2.804603790302e-05,"6347/1234/8807/1524/3560/8809/6846/388372/6355/6364/10803/1232/6368/9560/1237/6373/3627/146433",18
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","17/414","109/9399",0.155963302752294,3.54081904002127,5.72714234456635,4.96614800864939e-06,0.000383634933668165,0.000354164765879996,"917/3554/4773/6095/916/5335/3560/2625/915/3932/919/6097/7535/30009/3556/3565/3118",17
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","17/414","122/9399",0.139344262295082,3.16351865051081,5.1629227928204,2.30652953253443e-05,0.00142543525110628,0.00131593579645649,"10125/917/4773/916/5335/915/959/3932/3702/919/5521/940/7535/925/926/3565/927",17
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","9/414","38/9399",0.236842105263158,5.37700228832952,5.80318344803442,2.98458994564665e-05,0.00153706382200803,0.00141898925486007,"916/915/959/3932/7535/925/926/927/326",9
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","14/414","93/9399",0.150537634408602,3.41764064204457,5.02933480987967,5.09642878247274e-05,0.00211600474773515,0.00195345694646985,"917/4773/916/5335/3560/2625/915/3932/919/7535/30009/3565/28514/3118",14
"Human Diseases","Immune disease","hsa05310","Asthma","8/414","32/9399",0.25,5.67572463768116,5.68699054279621,5.4783294439745e-05,0.00211600474773515,0.00195345694646985,"959/2206/6037/5553/2205/8288/3565/3118",8
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","23/414","233/9399",0.0987124463519313,2.24105865522175,4.11755294274802,0.000238815195073088,0.00819932169750935,0.00756946407775518,"23500/5318/478/2335/3908/1298/83660/84033/3680/375790/4604/3679/1292/3674/255631/3728/26287/1291/1282/2199/7134/6444/1832",23
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","12/414","86/9399",0.13953488372093,3.16784630940344,4.33502657075563,0.000360750090291715,0.011147177790014,0.0102908709967426,"9254/5318/6546/3908/6932/3680/3679/3674/3728/59285/6444/1832",12
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","19/414","193/9399",0.0984455958549223,2.23500037545994,3.72108087357886,0.000845340990736458,0.0237463969215969,0.0219222400468498,"6347/1234/2790/1524/5335/7074/3702/6846/112/388372/6355/6364/10803/1232/6368/9560/1237/6373/3627",19
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","19/414","201/9399",0.0945273631840796,2.14604513663566,3.52542840028575,0.00137432424913629,0.0353888494152595,0.0326703396066609,"7850/1647/7704/3248/2322/64919/1991/3560/604/4318/2078/3486/4353/1669/1667/728358/3728/1668/7102",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","16/414","160/9399",0.1,2.27028985507246,3.47863760628627,0.00180643666857512,0.0429376100453624,0.0396392175857374,"4756/923/201633/914/959/940/25945/925/926/6614/3680/23114/927/4897/26047/3118",16
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","22/414","259/9399",0.0849420849420849,1.92843153712719,3.25226195345173,0.00238171272648183,0.052567802320206,0.0485296352538778,"114876/4317/55176/1991/4360/249/566/2204/4318/1511/5657/3934/671/4353/1669/4973/1667/728358/4057/1780/1668/3118",22
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","27/414","362/9399",0.074585635359116,1.69331011289935,2.88754345928952,0.00509067863055664,0.101616490760015,0.0938104888297191,"2790/1942/2322/596/3560/5159/54541/2335/5521/3908/1298/2323/356/5618/3680/374/3679/1292/5008/3674/2263/3565/3164/1291/1282/2254/5617",27
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/414","17/9399",0.235294117647059,5.34185848252344,3.84601754081394,0.00558959484730316,0.101616490760015,0.0938104888297191,"762/759/761/765",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/414","89/9399",0.112359550561798,2.55088747760951,3.15543546469239,0.00559055127158658,0.101616490760015,0.0938104888297191,"2335/3908/1298/3680/375790/3679/1292/3674/1291/1282",10
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","10/414","90/9399",0.111111111111111,2.52254428341385,3.11529029934116,0.00604994724560376,0.103647815713314,0.0956857709361543,"10125/917/4773/916/5335/915/3932/919/940/7535",10
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","11/414","105/9399",0.104761904761905,2.3783988957902,3.04878698764095,0.00637316666198371,0.103647815713314,0.0956857709361543,"9254/6546/112/3908/3680/3679/3674/153/59285/7134/6444",11
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/414","66/9399",0.121212121212121,2.75186649099693,3.06564025898906,0.00810588149894206,0.125235869158655,0.115615467695437,"6095/8807/2625/8809/6097/30009/3565/3118",8
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","10/414","99/9399",0.101010101010101,2.29322207583077,2.77656652117487,0.0116285759725134,0.163328635250303,0.150782013806275,"2204/1669/1667/728358/629/717/820/1668/3118/1672",10
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","10/414","99/9399",0.101010101010101,2.29322207583077,2.77656652117487,0.0116285759725134,0.163328635250303,0.150782013806275,"9254/6546/3908/3680/3679/3674/1636/59285/7134/6444",10
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","4/414","22/9399",0.181818181818182,4.12779973649539,3.15266025202102,0.014441998971129,0.186515830348098,0.172188008939991,"4128/57571/4129/3067",4
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","10/414","103/9399",0.0970873786407767,2.20416490783734,2.63763909764205,0.0150902775362538,0.186515830348098,0.172188008939991,"6546/478/1298/1308/7512/8645/1292/255631/1291/1282",10
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","10/414","103/9399",0.0970873786407767,2.20416490783734,2.63763909764205,0.0150902775362538,0.186515830348098,0.172188008939991,"383/7850/3554/5273/2335/3908/1511/9630/1282/732",10
"Human Diseases","Infectious disease: viral","hsa05162","Measles","12/414","136/9399",0.0882352941176471,2.00319693094629,2.52952320132326,0.0166917576614681,0.188540930855877,0.174057544751977,"917/596/916/3560/915/51284/940/356/4939/4940/64135/4599",12
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","4/414","23/9399",0.173913043478261,3.94833018273472,3.0387158230154,0.0168888317037967,0.188540930855877,0.174057544751977,"762/358/478/8671",4
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","10/414","105/9399",0.0952380952380952,2.16218081435473,2.57054888458787,0.0170846150937364,0.188540930855877,0.174057544751977,"1647/3554/596/5335/959/3932/128178/388372/7535/9560",10
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","13/414","157/9399",0.0828025477707006,1.87985784177975,2.38637232241724,0.0210973955234296,0.223938998704347,0.206736394647856,"383/558/6513/4773/1524/4240/5031/100133941/55423/5627/338440/55576/246",13
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/414","50/9399",0.12,2.72434782608696,2.62413483398925,0.0217416503596454,0.223938998704347,0.206736394647856,"6347/2993/22914/959/100528032/2994",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","3/414","15/9399",0.2,4.54057971014493,2.9456751864847,0.0260067677850112,0.259228749857048,0.239315248547981,"27010/249/26289",3
"Human Diseases","Immune disease","hsa05330","Allograft rejection","5/414","39/9399",0.128205128205128,2.91062801932367,2.56642969525861,0.0271626008757601,0.262288864706558,0.242140290701677,"959/940/356/3565/3118",5
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","3/414","16/9399",0.1875,4.25679347826087,2.79858307321194,0.0309869069583737,0.286835056369312,0.264800886649918,"4128/259307/4129",3
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","18/414","254/9399",0.0708661417322835,1.6088668264293,2.11157332066304,0.0315611388885327,0.286835056369312,0.264800886649918,"444/80271/4773/3274/5335/5159/6546/814/6261/9630/57105/2263/1910/153/9127/2254/7134/3362",18
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","9/414","103/9399",0.087378640776699,1.98374841705361,2.15483217470956,0.0374511654114298,0.330640288918051,0.305241077488646,"6347/917/916/915/919/5521/356/9630/1636",9
NA,NA,"hsa04518","Integrin signaling","12/414","154/9399",0.0779220779220779,1.7690570299266,2.06549571926261,0.0391213654557881,0.335791720162181,0.309996784752005,"5159/2335/3908/1298/83660/3680/3679/1292/3674/10979/1291/1282",12
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","9/414","106/9399",0.0849056603773585,1.92760459392945,2.06156344595683,0.0437500096783604,0.365371702449009,0.337304484291199,"7850/596/5159/4318/2078/6932/2263/2352/4824",9
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/414","76/9399",0.0921052631578947,2.09105644546148,2.04991108287888,0.0493704894547539,0.401460032671552,0.370620571807155,"440503/729359/4023/2167/2169/4973/11001",7
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","4/414","34/9399",0.117647058823529,2.67092924126172,2.09508900210196,0.0607343593509315,0.476447433628402,0.439847571157543,"5187/6095/6097/4862",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/414","21/9399",0.142857142857143,3.24327122153209,2.20899721458091,0.06265423743057,0.476447433628402,0.439847571157543,"586/8876/5169",3
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","5/414","49/9399",0.102040816326531,2.31662230109435,1.98340905540217,0.0632179442678462,0.476447433628402,0.439847571157543,"4128/8851/4129/6570/84152",5
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","5/414","50/9399",0.1,2.27028985507246,1.93314353840274,0.0678264213687574,0.478715728792498,0.441941619835691,"383/4128/8974/57571/4129",5
